age,hours.per.week,education.num,income,income_binary
29,40,10,<=50K,0
19,15,10,<=50K,0
28,40,10,<=50K,0
35,45,7,<=50K,0
20,30,10,<=50K,0
36,40,10,<=50K,0
46,40,13,<=50K,0
35,50,8,<=50K,0
28,40,4,<=50K,0
23,40,9,<=50K,0
45,40,9,<=50K,0
35,40,10,<=50K,0
39,45,13,<=50K,0
22,40,9,<=50K,0
45,40,9,<=50K,0
19,40,7,<=50K,0
31,40,10,<=50K,0
53,40,12,>50K,1
51,50,14,>50K,1
25,40,10,<=50K,0
77,20,3,<=50K,0
45,60,9,<=50K,0
25,40,10,<=50K,0
23,40,9,<=50K,0
33,41,9,<=50K,0
49,40,10,<=50K,0
57,40,13,<=50K,0
54,35,9,<=50K,0
24,15,13,<=50K,0
41,36,10,<=50K,0
57,40,9,>50K,1
59,80,14,>50K,1
46,37,9,<=50K,0
46,40,12,<=50K,0
34,40,10,<=50K,0
27,45,10,<=50K,0
41,40,13,<=50K,0
32,50,12,<=50K,0
28,45,10,<=50K,0
39,40,13,>50K,1
43,45,12,<=50K,0
55,60,9,<=50K,0
34,60,13,<=50K,0
44,40,14,<=50K,0
18,30,9,<=50K,0
65,50,11,>50K,1
36,35,16,<=50K,0
42,40,13,<=50K,0
30,40,4,<=50K,0
55,53,9,>50K,1
35,40,13,<=50K,0
35,40,10,<=50K,0
27,45,12,<=50K,0
21,8,12,<=50K,0
38,99,9,<=50K,0
19,12,10,<=50K,0
38,40,9,<=50K,0
26,48,13,<=50K,0
52,50,2,>50K,1
59,40,9,>50K,1
29,40,10,<=50K,0
44,40,10,<=50K,0
42,75,9,>50K,1
17,20,6,<=50K,0
43,40,9,<=50K,0
44,35,10,<=50K,0
43,40,9,<=50K,0
43,40,9,<=50K,0
44,32,15,>50K,1
46,40,9,<=50K,0
52,36,9,<=50K,0
55,40,7,<=50K,0
21,15,12,<=50K,0
43,60,8,<=50K,0
37,40,14,<=50K,0
28,40,10,<=50K,0
45,50,14,>50K,1
42,50,14,<=50K,0
26,40,13,<=50K,0
71,40,9,>50K,1
59,40,9,>50K,1
31,40,13,<=50K,0
41,40,9,<=50K,0
33,35,13,<=50K,0
41,40,13,<=50K,0
40,30,9,<=50K,0
40,55,6,<=50K,0
48,40,10,<=50K,0
42,96,9,<=50K,0
45,40,13,<=50K,0
26,30,10,<=50K,0
62,16,9,<=50K,0
36,64,9,>50K,1
17,20,7,<=50K,0
27,40,13,<=50K,0
35,16,9,>50K,1
56,46,9,<=50K,0
23,40,13,>50K,1
42,38,14,<=50K,0
57,30,9,<=50K,0
36,40,10,<=50K,0
17,40,6,<=50K,0
32,54,10,<=50K,0
41,4,10,<=50K,0
53,70,16,>50K,1
38,60,10,<=50K,0
20,25,9,<=50K,0
17,30,6,<=50K,0
28,60,9,<=50K,0
39,50,10,<=50K,0
43,40,10,<=50K,0
35,40,13,>50K,1
50,50,9,>50K,1
40,45,9,<=50K,0
53,40,4,<=50K,0
42,40,10,>50K,1
46,40,9,<=50K,0
21,36,9,<=50K,0
39,40,9,<=50K,0
30,40,9,<=50K,0
36,40,9,>50K,1
43,40,12,<=50K,0
35,50,10,<=50K,0
42,40,9,<=50K,0
68,40,13,>50K,1
52,40,9,>50K,1
42,40,9,<=50K,0
31,50,9,>50K,1
59,40,9,<=50K,0
24,40,9,<=50K,0
23,48,9,<=50K,0
36,45,9,<=50K,0
21,25,10,<=50K,0
17,20,7,<=50K,0
34,60,13,>50K,1
33,35,9,<=50K,0
20,40,10,<=50K,0
18,30,7,<=50K,0
37,42,10,>50K,1
22,30,10,<=50K,0
18,16,10,<=50K,0
46,50,10,<=50K,0
38,50,9,<=50K,0
57,40,16,>50K,1
27,40,9,<=50K,0
25,40,9,<=50K,0
20,40,10,<=50K,0
38,40,9,>50K,1
53,99,12,<=50K,0
32,45,13,>50K,1
33,40,14,<=50K,0
19,50,10,<=50K,0
36,30,9,<=50K,0
26,38,13,<=50K,0
33,40,7,<=50K,0
46,40,11,<=50K,0
24,30,12,<=50K,0
45,40,10,<=50K,0
30,40,13,<=50K,0
26,30,10,<=50K,0
24,35,10,<=50K,0
37,45,11,>50K,1
49,40,13,>50K,1
33,65,9,<=50K,0
50,40,10,<=50K,0
54,40,9,>50K,1
19,15,8,<=50K,0
41,40,13,>50K,1
17,25,7,<=50K,0
55,40,10,<=50K,0
18,16,10,<=50K,0
35,55,13,<=50K,0
30,36,11,>50K,1
28,32,9,<=50K,0
41,40,10,>50K,1
54,10,6,<=50K,0
26,40,10,<=50K,0
33,40,10,<=50K,0
46,40,9,<=50K,0
32,50,11,>50K,1
41,40,9,<=50K,0
52,50,13,>50K,1
54,40,3,>50K,1
60,40,4,<=50K,0
21,40,13,<=50K,0
19,30,9,<=50K,0
40,40,14,<=50K,0
44,40,12,<=50K,0
32,40,9,<=50K,0
45,45,14,>50K,1
21,8,10,<=50K,0
49,40,9,>50K,1
70,4,10,>50K,1
18,20,7,<=50K,0
39,48,13,<=50K,0
38,30,15,<=50K,0
41,32,9,<=50K,0
45,38,6,<=50K,0
47,40,10,>50K,1
20,10,10,<=50K,0
52,40,10,<=50K,0
28,40,9,<=50K,0
22,42,10,<=50K,0
44,45,10,<=50K,0
59,40,6,<=50K,0
25,25,13,<=50K,0
56,50,10,<=50K,0
42,40,10,>50K,1
50,40,10,<=50K,0
49,30,9,>50K,1
62,32,9,<=50K,0
35,55,14,>50K,1
18,25,8,<=50K,0
44,40,9,<=50K,0
54,40,13,>50K,1
22,15,12,<=50K,0
59,40,9,<=50K,0
27,45,11,<=50K,0
20,40,9,<=50K,0
53,47,7,<=50K,0
60,35,10,<=50K,0
22,40,13,<=50K,0
56,40,9,<=50K,0
31,40,9,<=50K,0
38,40,10,<=50K,0
34,62,13,>50K,1
27,50,9,<=50K,0
51,45,10,>50K,1
22,40,9,<=50K,0
19,40,10,<=50K,0
58,40,9,<=50K,0
48,40,14,>50K,1
30,40,10,<=50K,0
19,25,10,<=50K,0
28,40,7,<=50K,0
51,36,10,<=50K,0
61,48,4,<=50K,0
27,40,11,<=50K,0
41,45,9,<=50K,0
19,25,7,<=50K,0
37,45,14,<=50K,0
50,60,13,<=50K,0
24,39,13,<=50K,0
30,40,9,>50K,1
21,40,10,<=50K,0
57,50,15,>50K,1
26,40,9,<=50K,0
26,38,5,<=50K,0
30,55,9,<=50K,0
42,40,13,>50K,1
33,40,9,<=50K,0
52,40,9,<=50K,0
61,36,10,>50K,1
52,98,9,>50K,1
27,40,10,<=50K,0
44,43,9,<=50K,0
53,55,14,>50K,1
51,40,13,<=50K,0
28,23,9,<=50K,0
41,40,7,<=50K,0
44,40,14,>50K,1
45,84,9,>50K,1
17,20,9,<=50K,0
27,40,12,<=50K,0
51,50,9,<=50K,0
39,45,10,<=50K,0
26,25,7,<=50K,0
45,50,13,>50K,1
60,20,9,<=50K,0
24,38,9,<=50K,0
63,35,9,>50K,1
21,40,10,<=50K,0
23,40,9,<=50K,0
78,15,14,<=50K,0
52,50,4,<=50K,0
43,30,14,<=50K,0
47,40,10,>50K,1
40,40,12,<=50K,0
18,20,10,<=50K,0
49,50,16,>50K,1
23,40,9,<=50K,0
61,40,5,<=50K,0
43,40,13,>50K,1
37,45,15,>50K,1
41,45,10,>50K,1
52,38,9,<=50K,0
34,64,11,<=50K,0
61,20,7,<=50K,0
19,10,10,<=50K,0
42,40,4,<=50K,0
68,40,9,>50K,1
31,45,12,>50K,1
32,40,11,<=50K,0
34,25,9,<=50K,0
36,15,14,<=50K,0
60,40,10,>50K,1
47,50,9,>50K,1
47,50,13,<=50K,0
30,40,10,<=50K,0
59,40,9,<=50K,0
58,40,5,<=50K,0
42,42,9,<=50K,0
58,40,10,>50K,1
33,40,10,<=50K,0
37,40,10,<=50K,0
39,40,3,<=50K,0
44,50,10,>50K,1
35,50,10,>50K,1
26,20,9,<=50K,0
41,40,13,<=50K,0
18,30,9,<=50K,0
32,5,9,<=50K,0
31,40,13,<=50K,0
20,30,9,<=50K,0
48,40,10,>50K,1
32,40,14,>50K,1
45,40,13,>50K,1
36,48,13,>50K,1
34,40,8,<=50K,0
39,20,11,>50K,1
53,40,9,<=50K,0
49,45,14,>50K,1
33,38,13,>50K,1
38,40,13,<=50K,0
29,18,10,<=50K,0
48,40,10,<=50K,0
35,40,9,<=50K,0
22,40,9,<=50K,0
54,40,16,>50K,1
45,40,5,<=50K,0
19,40,9,<=50K,0
25,6,9,<=50K,0
49,45,14,>50K,1
25,78,9,<=50K,0
19,40,9,<=50K,0
65,40,10,<=50K,0
36,40,9,<=50K,0
53,10,9,<=50K,0
28,40,4,<=50K,0
33,40,10,<=50K,0
19,40,10,<=50K,0
27,22,10,<=50K,0
43,40,9,<=50K,0
27,40,9,<=50K,0
26,40,9,<=50K,0
32,40,6,<=50K,0
49,40,5,<=50K,0
33,87,9,<=50K,0
17,20,6,<=50K,0
47,40,10,<=50K,0
38,40,9,>50K,1
24,40,13,<=50K,0
45,40,10,<=50K,0
36,40,9,<=50K,0
42,40,10,<=50K,0
66,20,9,<=50K,0
45,40,9,<=50K,0
33,52,10,<=50K,0
19,40,10,<=50K,0
50,40,9,<=50K,0
49,50,10,>50K,1
45,45,9,<=50K,0
90,99,9,<=50K,0
29,48,9,<=50K,0
27,40,14,<=50K,0
39,40,8,<=50K,0
24,40,10,<=50K,0
30,35,13,<=50K,0
51,60,9,>50K,1
35,60,16,<=50K,0
18,15,10,<=50K,0
34,30,13,>50K,1
24,40,13,<=50K,0
25,26,12,<=50K,0
45,40,15,>50K,1
20,40,10,<=50K,0
41,40,13,<=50K,0
37,50,9,<=50K,0
26,40,13,<=50K,0
24,20,9,<=50K,0
33,40,16,>50K,1
26,40,10,<=50K,0
49,32,10,<=50K,0
47,40,12,<=50K,0
37,40,13,>50K,1
26,50,10,<=50K,0
35,35,9,<=50K,0
44,40,13,>50K,1
20,15,10,<=50K,0
44,45,13,<=50K,0
38,40,10,<=50K,0
27,40,9,<=50K,0
53,40,9,>50K,1
39,40,9,<=50K,0
66,55,10,<=50K,0
33,40,12,<=50K,0
38,55,13,<=50K,0
59,40,5,<=50K,0
37,40,12,>50K,1
37,40,13,<=50K,0
64,40,4,<=50K,0
35,40,13,>50K,1
39,30,7,<=50K,0
32,40,9,<=50K,0
51,36,10,<=50K,0
58,40,9,<=50K,0
59,40,9,>50K,1
52,48,9,<=50K,0
41,40,9,<=50K,0
25,40,9,<=50K,0
22,40,13,<=50K,0
40,20,14,<=50K,0
55,20,14,>50K,1
39,60,9,>50K,1
63,32,9,<=50K,0
62,50,11,>50K,1
45,40,13,>50K,1
30,40,12,<=50K,0
47,45,10,<=50K,0
22,40,9,<=50K,0
57,48,6,<=50K,0
44,70,13,>50K,1
24,40,9,<=50K,0
32,40,9,<=50K,0
24,40,13,>50K,1
59,40,10,<=50K,0
26,42,10,<=50K,0
25,40,9,<=50K,0
33,40,9,<=50K,0
40,45,10,>50K,1
38,35,9,<=50K,0
51,40,10,<=50K,0
24,35,10,<=50K,0
52,40,9,<=50K,0
60,40,3,<=50K,0
48,40,9,>50K,1
18,40,10,<=50K,0
24,40,13,<=50K,0
32,45,10,<=50K,0
24,20,14,<=50K,0
33,45,13,<=50K,0
29,35,13,<=50K,0
25,70,13,<=50K,0
22,30,10,<=50K,0
64,35,9,<=50K,0
47,45,12,>50K,1
55,55,14,>50K,1
49,42,11,<=50K,0
48,70,11,>50K,1
24,30,9,<=50K,0
59,40,16,>50K,1
59,40,7,<=50K,0
38,40,9,<=50K,0
34,40,13,>50K,1
31,44,13,>50K,1
43,48,10,>50K,1
43,40,12,<=50K,0
49,40,4,<=50K,0
29,36,10,<=50K,0
18,25,10,<=50K,0
31,35,15,<=50K,0
33,40,10,<=50K,0
28,40,13,<=50K,0
35,35,5,<=50K,0
30,30,9,<=50K,0
56,38,10,<=50K,0
34,50,13,>50K,1
41,40,13,<=50K,0
19,30,13,<=50K,0
38,60,15,>50K,1
65,40,9,>50K,1
23,40,10,<=50K,0
33,40,13,<=50K,0
55,29,6,<=50K,0
41,40,9,<=50K,0
35,60,9,>50K,1
21,38,4,<=50K,0
55,40,9,<=50K,0
18,40,9,<=50K,0
44,40,7,>50K,1
32,40,9,<=50K,0
61,45,14,>50K,1
55,60,13,>50K,1
54,30,10,<=50K,0
19,60,10,<=50K,0
57,40,6,<=50K,0
75,16,2,<=50K,0
46,40,9,<=50K,0
38,40,6,<=50K,0
41,35,10,>50K,1
25,80,10,<=50K,0
24,40,13,<=50K,0
22,40,9,<=50K,0
59,40,6,<=50K,0
36,40,14,<=50K,0
59,40,13,>50K,1
39,38,9,<=50K,0
25,40,13,<=50K,0
18,60,10,<=50K,0
37,32,11,<=50K,0
62,84,9,<=50K,0
69,40,9,<=50K,0
22,50,9,>50K,1
30,40,9,<=50K,0
59,60,13,<=50K,0
59,40,10,>50K,1
40,60,14,>50K,1
18,54,3,<=50K,0
43,40,10,>50K,1
35,40,13,>50K,1
40,40,6,<=50K,0
51,38,11,<=50K,0
38,48,9,>50K,1
36,40,10,>50K,1
39,40,11,<=50K,0
63,30,15,>50K,1
42,35,13,<=50K,0
19,25,6,<=50K,0
49,45,14,>50K,1
36,40,14,<=50K,0
26,40,14,<=50K,0
18,24,7,<=50K,0
37,65,13,>50K,1
29,30,13,<=50K,0
26,37,10,<=50K,0
23,40,10,<=50K,0
61,40,2,<=50K,0
41,40,14,<=50K,0
33,40,9,<=50K,0
51,60,10,<=50K,0
33,55,11,<=50K,0
28,30,12,<=50K,0
52,40,9,>50K,1
61,40,10,<=50K,0
63,22,7,<=50K,0
30,40,9,<=50K,0
46,20,10,<=50K,0
30,40,10,<=50K,0
49,40,10,<=50K,0
33,60,10,<=50K,0
23,20,12,<=50K,0
23,56,11,<=50K,0
31,27,9,<=50K,0
37,40,10,<=50K,0
46,50,14,<=50K,0
54,40,9,>50K,1
30,40,4,<=50K,0
44,55,10,>50K,1
40,30,9,<=50K,0
51,40,13,>50K,1
48,40,13,>50K,1
26,40,13,<=50K,0
45,75,10,<=50K,0
37,40,9,<=50K,0
41,40,9,<=50K,0
24,40,14,<=50K,0
21,4,10,<=50K,0
47,60,4,>50K,1
27,40,9,<=50K,0
38,30,9,<=50K,0
41,40,9,>50K,1
46,40,9,>50K,1
33,40,9,<=50K,0
26,40,13,<=50K,0
26,40,10,<=50K,0
20,20,9,<=50K,0
43,25,14,<=50K,0
72,20,4,<=50K,0
61,40,9,<=50K,0
24,40,6,<=50K,0
35,45,10,<=50K,0
48,56,11,>50K,1
32,40,11,<=50K,0
38,15,11,<=50K,0
45,50,16,>50K,1
20,40,11,<=50K,0
22,40,7,<=50K,0
46,35,9,<=50K,0
53,40,10,<=50K,0
29,32,9,<=50K,0
27,40,9,<=50K,0
17,35,9,<=50K,0
46,60,16,>50K,1
20,25,10,<=50K,0
28,40,9,<=50K,0
33,40,10,<=50K,0
30,40,10,>50K,1
55,40,6,<=50K,0
30,60,9,<=50K,0
21,25,10,<=50K,0
28,40,10,<=50K,0
47,55,9,>50K,1
34,40,9,<=50K,0
47,40,9,>50K,1
19,15,10,<=50K,0
20,40,6,<=50K,0
19,40,9,<=50K,0
23,40,10,<=50K,0
34,40,13,>50K,1
34,35,9,<=50K,0
20,50,10,<=50K,0
52,55,10,>50K,1
23,40,9,<=50K,0
37,40,9,>50K,1
55,40,5,<=50K,0
54,40,9,>50K,1
27,40,10,<=50K,0
31,25,3,<=50K,0
33,40,9,<=50K,0
56,40,10,<=50K,0
64,40,10,<=50K,0
30,20,12,<=50K,0
63,10,4,<=50K,0
61,40,16,<=50K,0
39,40,10,<=50K,0
34,44,6,<=50K,0
44,40,13,>50K,1
32,30,10,<=50K,0
36,40,10,<=50K,0
52,40,10,>50K,1
26,42,10,<=50K,0
40,40,4,<=50K,0
65,15,10,<=50K,0
37,40,9,<=50K,0
36,70,14,<=50K,0
31,40,9,<=50K,0
33,40,13,<=50K,0
22,40,9,<=50K,0
24,40,9,<=50K,0
34,35,9,<=50K,0
28,40,7,<=50K,0
46,40,4,<=50K,0
36,45,16,<=50K,0
33,60,13,>50K,1
32,40,10,>50K,1
21,20,10,<=50K,0
41,54,10,<=50K,0
26,40,9,>50K,1
20,40,10,<=50K,0
25,45,11,<=50K,0
24,25,13,<=50K,0
36,42,11,>50K,1
37,60,13,>50K,1
42,40,9,>50K,1
29,50,13,<=50K,0
51,37,9,<=50K,0
18,40,10,<=50K,0
57,40,14,>50K,1
38,40,4,<=50K,0
31,40,9,<=50K,0
43,55,13,>50K,1
46,40,9,<=50K,0
67,16,9,<=50K,0
45,40,9,>50K,1
35,50,13,<=50K,0
36,50,11,>50K,1
45,60,13,>50K,1
34,40,13,<=50K,0
39,50,14,>50K,1
17,16,7,<=50K,0
57,35,2,<=50K,0
41,35,14,<=50K,0
63,40,9,>50K,1
28,50,9,<=50K,0
31,40,6,<=50K,0
21,40,9,<=50K,0
20,30,3,<=50K,0
29,30,10,<=50K,0
42,48,9,<=50K,0
25,42,11,>50K,1
20,40,6,<=50K,0
38,70,13,>50K,1
45,40,14,>50K,1
19,20,9,<=50K,0
36,40,9,<=50K,0
19,15,10,<=50K,0
21,40,9,<=50K,0
43,40,14,>50K,1
46,40,9,<=50K,0
25,35,10,<=50K,0
29,64,11,<=50K,0
50,56,6,<=50K,0
48,40,10,>50K,1
41,40,13,>50K,1
27,35,2,<=50K,0
49,32,10,<=50K,0
45,40,16,>50K,1
38,45,9,>50K,1
24,45,10,<=50K,0
56,60,10,>50K,1
21,40,4,<=50K,0
39,40,9,>50K,1
19,10,10,<=50K,0
23,40,10,<=50K,0
39,70,13,<=50K,0
43,40,14,<=50K,0
27,40,13,<=50K,0
52,40,5,<=50K,0
26,48,10,<=50K,0
21,35,9,<=50K,0
22,15,12,<=50K,0
25,40,13,<=50K,0
64,40,16,>50K,1
22,44,11,<=50K,0
35,40,9,<=50K,0
31,45,12,<=50K,0
23,60,9,<=50K,0
34,40,10,<=50K,0
33,35,10,<=50K,0
39,55,10,<=50K,0
39,40,9,>50K,1
19,28,10,<=50K,0
49,30,10,<=50K,0
34,40,12,<=50K,0
29,50,15,<=50K,0
26,40,13,<=50K,0
37,25,7,<=50K,0
53,50,14,>50K,1
47,40,4,<=50K,0
17,30,6,<=50K,0
32,40,9,<=50K,0
27,40,9,<=50K,0
60,30,13,<=50K,0
44,40,9,<=50K,0
17,20,7,<=50K,0
37,40,9,<=50K,0
46,40,13,<=50K,0
33,40,9,<=50K,0
23,40,13,<=50K,0
28,50,9,<=50K,0
23,40,10,<=50K,0
44,45,10,>50K,1
43,40,10,<=50K,0
24,65,13,<=50K,0
44,40,11,<=50K,0
26,44,9,<=50K,0
28,40,11,<=50K,0
35,40,9,<=50K,0
47,45,9,>50K,1
24,20,12,<=50K,0
25,48,13,<=50K,0
61,24,6,<=50K,0
55,60,13,<=50K,0
43,40,10,<=50K,0
36,48,9,<=50K,0
27,48,13,<=50K,0
41,30,11,<=50K,0
42,60,13,<=50K,0
53,40,10,>50K,1
28,40,9,<=50K,0
40,40,13,>50K,1
23,55,3,<=50K,0
50,40,13,<=50K,0
45,40,9,<=50K,0
33,12,10,<=50K,0
42,45,13,>50K,1
45,40,14,<=50K,0
21,40,9,<=50K,0
41,40,9,<=50K,0
49,40,4,<=50K,0
19,25,7,<=50K,0
65,40,13,>50K,1
49,70,10,>50K,1
33,40,15,>50K,1
29,37,10,<=50K,0
54,40,9,>50K,1
55,37,5,>50K,1
49,50,14,>50K,1
48,35,13,<=50K,0
45,40,5,>50K,1
26,65,9,<=50K,0
37,50,9,<=50K,0
20,15,10,<=50K,0
47,40,9,>50K,1
59,36,11,<=50K,0
51,40,10,<=50K,0
35,30,9,<=50K,0
26,70,9,<=50K,0
61,40,9,<=50K,0
59,85,4,<=50K,0
56,38,13,<=50K,0
64,40,10,<=50K,0
28,40,13,<=50K,0
61,30,10,<=50K,0
37,40,14,<=50K,0
34,30,9,<=50K,0
47,55,13,>50K,1
28,50,11,>50K,1
31,40,5,<=50K,0
27,40,9,<=50K,0
58,40,10,<=50K,0
47,35,15,<=50K,0
38,40,9,<=50K,0
26,60,15,>50K,1
35,40,9,<=50K,0
24,48,10,<=50K,0
29,38,9,<=50K,0
34,42,10,>50K,1
20,30,9,<=50K,0
52,40,12,>50K,1
63,40,13,>50K,1
22,40,9,<=50K,0
54,40,10,<=50K,0
56,40,7,<=50K,0
48,40,10,>50K,1
58,40,9,<=50K,0
64,40,10,>50K,1
30,40,9,<=50K,0
40,30,10,<=50K,0
55,40,9,<=50K,0
33,50,10,<=50K,0
40,40,10,<=50K,0
25,45,13,>50K,1
43,45,9,<=50K,0
31,40,9,<=50K,0
39,40,10,<=50K,0
19,20,9,<=50K,0
27,40,9,<=50K,0
37,32,13,<=50K,0
52,40,4,<=50K,0
38,40,9,<=50K,0
44,40,14,>50K,1
25,40,14,<=50K,0
34,40,10,<=50K,0
60,30,9,<=50K,0
35,40,10,<=50K,0
22,39,10,<=50K,0
58,40,9,>50K,1
59,40,14,<=50K,0
33,60,9,>50K,1
39,50,9,<=50K,0
39,40,6,<=50K,0
43,30,9,<=50K,0
46,20,2,<=50K,0
84,35,10,>50K,1
31,40,13,<=50K,0
38,65,14,>50K,1
37,40,10,>50K,1
19,40,9,<=50K,0
23,60,10,<=50K,0
51,40,15,>50K,1
79,24,9,<=50K,0
42,40,7,<=50K,0
32,40,6,<=50K,0
62,20,11,<=50K,0
27,40,10,<=50K,0
68,10,9,>50K,1
34,33,9,<=50K,0
46,40,14,>50K,1
47,25,9,<=50K,0
23,50,13,<=50K,0
53,40,12,>50K,1
45,50,9,>50K,1
30,25,9,<=50K,0
32,80,9,<=50K,0
42,45,13,<=50K,0
26,40,13,<=50K,0
20,43,9,<=50K,0
49,40,9,<=50K,0
28,50,13,<=50K,0
57,50,14,>50K,1
21,40,10,<=50K,0
32,60,13,>50K,1
26,20,10,<=50K,0
46,55,14,>50K,1
23,40,9,<=50K,0
18,5,7,<=50K,0
29,40,10,<=50K,0
40,40,10,<=50K,0
21,40,5,<=50K,0
24,60,10,<=50K,0
54,40,10,>50K,1
41,40,7,<=50K,0
26,50,13,<=50K,0
34,45,10,<=50K,0
21,15,10,<=50K,0
41,40,9,<=50K,0
47,80,10,<=50K,0
25,25,13,<=50K,0
28,40,14,<=50K,0
68,45,9,>50K,1
47,40,9,<=50K,0
29,40,9,<=50K,0
34,50,9,<=50K,0
34,45,9,<=50K,0
35,35,9,<=50K,0
32,40,3,<=50K,0
67,60,9,<=50K,0
46,55,13,>50K,1
63,40,9,<=50K,0
48,40,13,>50K,1
57,50,9,<=50K,0
55,40,9,<=50K,0
48,40,9,<=50K,0
22,40,10,<=50K,0
31,45,9,<=50K,0
23,32,13,<=50K,0
45,40,13,>50K,1
21,42,5,<=50K,0
35,40,10,<=50K,0
60,40,14,<=50K,0
38,50,10,<=50K,0
45,43,14,>50K,1
27,40,9,<=50K,0
24,40,14,<=50K,0
76,40,10,<=50K,0
39,40,14,>50K,1
28,25,9,<=50K,0
36,60,12,>50K,1
46,80,15,>50K,1
41,30,11,<=50K,0
24,56,10,<=50K,0
76,17,9,<=50K,0
34,40,14,<=50K,0
20,20,10,<=50K,0
43,40,13,<=50K,0
30,37,12,>50K,1
57,35,15,>50K,1
35,40,14,<=50K,0
47,45,14,<=50K,0
39,48,10,<=50K,0
42,15,9,<=50K,0
19,40,10,<=50K,0
25,40,9,<=50K,0
30,45,14,>50K,1
40,30,9,<=50K,0
26,40,10,>50K,1
48,40,3,<=50K,0
31,35,9,<=50K,0
41,84,11,<=50K,0
41,40,13,<=50K,0
50,40,9,<=50K,0
30,40,6,<=50K,0
21,40,10,<=50K,0
41,40,9,<=50K,0
50,40,10,<=50K,0
53,60,13,>50K,1
51,32,9,<=50K,0
23,40,14,<=50K,0
58,40,13,<=50K,0
27,40,9,<=50K,0
35,40,13,<=50K,0
62,40,9,<=50K,0
54,40,11,<=50K,0
45,55,9,<=50K,0
36,55,12,<=50K,0
25,40,10,<=50K,0
34,50,5,<=50K,0
30,20,9,<=50K,0
46,45,15,>50K,1
18,20,9,<=50K,0
25,40,9,<=50K,0
41,40,9,>50K,1
28,54,10,<=50K,0
50,40,2,<=50K,0
58,40,9,<=50K,0
35,80,16,>50K,1
35,42,9,<=50K,0
30,40,10,<=50K,0
38,40,9,<=50K,0
21,40,10,<=50K,0
22,40,10,<=50K,0
52,40,10,<=50K,0
46,40,13,<=50K,0
45,35,9,<=50K,0
36,99,11,<=50K,0
28,46,11,<=50K,0
25,40,10,<=50K,0
66,50,9,>50K,1
37,37,9,<=50K,0
39,40,10,<=50K,0
26,15,10,<=50K,0
70,50,11,>50K,1
19,25,9,<=50K,0
56,50,15,>50K,1
83,8,9,<=50K,0
23,30,9,<=50K,0
31,47,9,>50K,1
39,50,12,>50K,1
35,36,10,<=50K,0
32,48,12,<=50K,0
45,55,10,>50K,1
49,40,10,<=50K,0
67,40,10,<=50K,0
45,60,11,>50K,1
39,40,13,>50K,1
21,30,10,<=50K,0
27,50,13,<=50K,0
50,30,9,<=50K,0
29,40,10,<=50K,0
48,40,9,>50K,1
36,40,10,<=50K,0
20,20,9,<=50K,0
35,40,14,>50K,1
28,40,9,<=50K,0
21,40,9,<=50K,0
18,6,10,<=50K,0
36,70,9,<=50K,0
44,70,9,<=50K,0
71,40,9,<=50K,0
